Ciudad_Bloque,Tratamiento,Ventas
Bogotá,Email Marketing,234.48
Bogotá,Email Marketing,228.96
Bogotá,Email Marketing,242.41
Bogotá,Email Marketing,254.96
Bogotá,Email Marketing,272.17
Bogotá,Email Marketing,234.6
Bogotá,Email Marketing,256.25
Bogotá,Email Marketing,249.99
Bogotá,Publicidad Redes,289.49
Bogotá,Publicidad Redes,268.72
Bogotá,Publicidad Redes,260.05
Bogotá,Publicidad Redes,258.0
Bogotá,Publicidad Redes,264.87
Bogotá,Publicidad Redes,286.43
Bogotá,Publicidad Redes,295.22
Bogotá,Publicidad Redes,286.47
Bogotá,Influencers,309.02
Bogotá,Influencers,356.12
Bogotá,Influencers,350.38
Bogotá,Influencers,312.92
Bogotá,Influencers,303.53
Bogotá,Influencers,322.6
Bogotá,Influencers,345.35
Bogotá,Influencers,326.66
Bogotá,Descuentos,311.13
Bogotá,Descuentos,295.76
Bogotá,Descuentos,309.13
Bogotá,Descuentos,330.89
Bogotá,Descuentos,295.21
Bogotá,Descuentos,302.87
Bogotá,Descuentos,305.08
Bogotá,Descuentos,305.67
Medellín,Email Marketing,191.76
Medellín,Email Marketing,182.46
Medellín,Email Marketing,199.61
Medellín,Email Marketing,223.36
Medellín,Email Marketing,231.08
Medellín,Email Marketing,209.39
Medellín,Email Marketing,247.55
Medellín,Email Marketing,217.14
Medellín,Publicidad Redes,260.41
Medellín,Publicidad Redes,256.12
Medellín,Publicidad Redes,262.68
Medellín,Publicidad Redes,274.09
Medellín,Publicidad Redes,273.31
Medellín,Publicidad Redes,242.03
Medellín,Publicidad Redes,290.47
Medellín,Publicidad Redes,238.1
Medellín,Influencers,301.58
Medellín,Influencers,294.51
Medellín,Influencers,279.02
Medellín,Influencers,298.5
Medellín,Influencers,285.18
Medellín,Influencers,301.46
Medellín,Influencers,308.06
Medellín,Influencers,329.44
Medellín,Descuentos,286.15
Medellín,Descuentos,267.78
Medellín,Descuentos,272.17
Medellín,Descuentos,282.8
Medellín,Descuentos,281.87
Medellín,Descuentos,309.19
Medellín,Descuentos,307.91
Medellín,Descuentos,272.82
Cali,Email Marketing,179.03
Cali,Email Marketing,138.86
Cali,Email Marketing,179.02
Cali,Email Marketing,170.44
Cali,Email Marketing,182.9
Cali,Email Marketing,197.83
Cali,Email Marketing,193.54
Cali,Email Marketing,189.4
Cali,Publicidad Redes,233.99
Cali,Publicidad Redes,227.48
Cali,Publicidad Redes,233.94
Cali,Publicidad Redes,165.38
Cali,Publicidad Redes,224.61
Cali,Publicidad Redes,227.78
Cali,Publicidad Redes,223.17
Cali,Publicidad Redes,225.64
Cali,Influencers,284.07
Cali,Influencers,258.04
Cali,Influencers,314.01
Cali,Influencers,283.77
Cali,Influencers,269.87
Cali,Influencers,265.87
Cali,Influencers,268.27
Cali,Influencers,251.69
Cali,Descuentos,248.1
Cali,Descuentos,255.57
Cali,Descuentos,261.59
Cali,Descuentos,261.59
Cali,Descuentos,244.5
Cali,Descuentos,221.68
Cali,Descuentos,236.62
Cali,Descuentos,282.24
Barranquilla,Email Marketing,197.92
Barranquilla,Email Marketing,187.39
Barranquilla,Email Marketing,164.77
Barranquilla,Email Marketing,180.07
Barranquilla,Email Marketing,154.89
Barranquilla,Email Marketing,168.96
Barranquilla,Email Marketing,175.1
Barranquilla,Email Marketing,172.77
Barranquilla,Publicidad Redes,239.13
Barranquilla,Publicidad Redes,191.63
Barranquilla,Publicidad Redes,202.69
Barranquilla,Publicidad Redes,192.51
Barranquilla,Publicidad Redes,195.25
Barranquilla,Publicidad Redes,222.48
Barranquilla,Publicidad Redes,187.99
Barranquilla,Publicidad Redes,235.08
Barranquilla,Influencers,255.06
Barranquilla,Influencers,261.38
Barranquilla,Influencers,266.45
Barranquilla,Influencers,251.32
Barranquilla,Influencers,280.65
Barranquilla,Influencers,256.11
Barranquilla,Influencers,271.88
Barranquilla,Influencers,256.02
Barranquilla,Descuentos,245.82
Barranquilla,Descuentos,245.59
Barranquilla,Descuentos,245.0
Barranquilla,Descuentos,220.51
Barranquilla,Descuentos,248.72
Barranquilla,Descuentos,233.62
Barranquilla,Descuentos,252.61
Barranquilla,Descuentos,196.95
