Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Non-Travel,1115,Research & Development,4,2,Other,1,1,4,Male,32,2,4,Research Director,1,Single,14575,5379,6,Y,No,23,3,1,80,0,36,2,3,8,3,5,4
46,No,Travel_Rarely,1484,Sales,26,3,Marketing,1,2,2,Female,98,1,2,Sales Executive,1,Single,9270,19982,5,Y,No,17,3,4,80,0,28,2,3,5,4,0,4
32,No,Non-Travel,1497,Research & Development,12,1,Marketing,1,3,1,Female,37,2,2,Human Resources,1,Single,6893,18119,2,Y,Yes,13,3,4,80,1,13,1,2,4,1,3,4
25,No,Travel_Frequently,653,Research & Development,6,2,Technical Degree,1,4,3,Male,43,3,4,Research Scientist,1,Married,11006,26017,3,Y,No,14,3,1,80,0,4,6,2,4,4,1,2
38,No,Travel_Rarely,402,Sales,11,3,Life Sciences,1,5,4,Female,32,3,3,Human Resources,1,Married,11139,18012,9,Y,Yes,16,3,3,80,3,23,1,3,8,3,1,8
56,No,Travel_Rarely,520,Research & Development,12,3,Life Sciences,1,6,2,Male,53,3,2,Sales Representative,1,Married,8325,21562,5,Y,No,11,3,4,80,2,38,3,3,8,3,0,4
36,Yes,Travel_Frequently,1369,Sales,10,4,Medical,1,7,4,Female,42,3,1,Human Resources,4,Divorced,6467,26428,8,Y,Yes,21,3,2,80,1,20,5,2,5,1,2,5
40,No,Travel_Rarely,1360,Research & Development,18,3,Medical,1,8,2,Male,72,4,2,Laboratory Technician,4,Married,8135,23497,1,Y,No,17,3,4,80,2,21,4,3,6,6,0,1
28,No,Non-Travel,284,Research & Development,7,2,Marketing,1,9,1,Male,58,2,2,Sales Executive,4,Married,6061,5372,3,Y,No,23,4,4,80,1,12,5,4,4,3,4,4
28,No,Non-Travel,567,Sales,7,3,Medical,1,10,3,Female,80,2,2,Sales Executive,4,Married,6915,25147,8,Y,No,21,4,3,80,2,9,5,4,5,4,1,1
