Tratamiento,Ventas
Email Marketing,172.86
Email Marketing,224.93
Email Marketing,207.07
Email Marketing,162.34
Email Marketing,185.53
Email Marketing,241.29
Email Marketing,139.33
Email Marketing,189.28
Email Marketing,231.65
Email Marketing,178.33
Email Marketing,183.03
Email Marketing,197.63
Email Marketing,237.28
Email Marketing,184.03
Email Marketing,188.9
Email Marketing,189.14
Email Marketing,255.15
Email Marketing,254.67
Email Marketing,225.1
Email Marketing,209.65
Email Marketing,218.43
Email Marketing,237.27
Email Marketing,176.6
Email Marketing,229.4
Email Marketing,168.65
Email Marketing,184.06
Email Marketing,222.68
Email Marketing,164.28
Email Marketing,196.5
Email Marketing,178.46
Publicidad Redes,233.61
Publicidad Redes,170.04
Publicidad Redes,195.71
Publicidad Redes,222.5
Publicidad Redes,263.19
Publicidad Redes,235.66
Publicidad Redes,240.07
Publicidad Redes,257.21
Publicidad Redes,218.01
Publicidad Redes,247.09
Publicidad Redes,219.87
Publicidad Redes,196.81
Publicidad Redes,230.23
Publicidad Redes,254.35
Publicidad Redes,248.46
Publicidad Redes,239.7
Publicidad Redes,299.81
Publicidad Redes,250.32
Publicidad Redes,264.47
Publicidad Redes,295.95
Publicidad Redes,207.65
Publicidad Redes,214.03
Publicidad Redes,283.59
Publicidad Redes,220.05
Publicidad Redes,240.74
Publicidad Redes,266.73
Publicidad Redes,262.27
Publicidad Redes,283.87
Publicidad Redes,277.39
Publicidad Redes,266.73
Influencers,260.68
Influencers,299.87
Influencers,287.86
Influencers,246.84
Influencers,315.43
Influencers,300.18
Influencers,281.14
Influencers,274.17
Influencers,250.04
Influencers,284.99
Influencers,291.71
Influencers,259.22
Influencers,309.06
Influencers,252.57
Influencers,226.92
Influencers,305.99
Influencers,269.92
Influencers,276.85
Influencers,259.06
Influencers,239.85
Influencers,311.38
Influencers,262.78
Influencers,321.52
Influencers,300.18
Influencers,272.13
Influencers,252.85
Influencers,261.69
Influencers,249.69
Influencers,332.18
Influencers,284.11
Descuentos,288.76
Descuentos,228.32
Descuentos,264.53
Descuentos,289.45
Descuentos,251.62
Descuentos,285.78
Descuentos,232.89
Descuentos,225.91
Descuentos,269.49
Descuentos,250.52
Descuentos,276.05
Descuentos,210.55
Descuentos,277.81
Descuentos,324.96
Descuentos,259.38
Descuentos,260.85
Descuentos,264.49
Descuentos,213.45
Descuentos,270.65
Descuentos,219.86
Descuentos,249.31
Descuentos,291.07
Descuentos,241.62
Descuentos,272.53
Descuentos,285.32
Descuentos,266.97
Descuentos,225.73
Descuentos,251.69
Descuentos,308.99
Descuentos,209.37
